GRAM5_NEGATIVE_CONTROL_OK new axiom: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_NEGATIVE_CONTROL_OK axiom only in proof body: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_NEGATIVE_CONTROL_OK missing proof dependency: missing raw dependency: Gram5AuditNegative.doesNotExist
GRAM5_NEGATIVE_CONTROL_OK standard name with altered type: nonstandard axiom type: propext
GRAM5_NEGATIVE_CONTROL_OK standard name with altered universe arity: unexpected axiom or universe arity: propext
GRAM5_NEGATIVE_CONTROL_OK excluded declaration safety Lean.DefinitionSafety.unsafe: unsafe or partial dependency: Gram5AuditNegative.operationalRoot
GRAM5_NEGATIVE_CONTROL_OK excluded declaration safety Lean.DefinitionSafety.partial: unsafe or partial dependency: Gram5AuditNegative.operationalRoot
GRAM5_NEGATIVE_CONTROL_OK every expression-bearing syntax position was traversed
GRAM5_NEGATIVE_CONTROL_OK altered stored theorem body is detected by exact comparison
GRAM5_NEGATIVE_CONTROL_OK stored theorem with changed type: stored theorem differs in non-body fields
GRAM5_NEGATIVE_CONTROL_OK stored theorem replaced by an axiom: stored declaration differs outside the theorem-body case
GRAM5_NEGATIVE_CONTROL_OK stored proof refers back to its original name: stored theorem variant depends on its original name: Gram5AuditNegative.circularStoredVariant
GRAM5_NEGATIVE_CONTROL_OK new axiom in an alternate stored proof: unexpected axiom or universe arity: Gram5AuditNegative.hiddenAxiom
GRAM5_PROJECT_MODULE PBCounterexample.Basic records=41
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.continuous
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.IsSemialgebraic.casesOn
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.below.union
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.ge_zero
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.mk.inj
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.brecOn
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.le
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic inductive PBCounterexample.IsSemialgebraic.below
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.iUnion
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic inductive PBCounterexample.IsSemialgebraic
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.compl
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.recOn
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.inter
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic recursor PBCounterexample.IsSemialgebraic.below.rec
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.empty
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.univ
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover._sizeOf_1
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.mk._flat_ctor
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.finset_union
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.count
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.below.compl
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.mk.noConfusion
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.agrees
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.below.polynomial_le
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.le._simp_1_1
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic recursor PBCounterexample.IsSemialgebraic.rec
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.semialgebraic
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.IsSemialgebraic.union
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.IsSemialgebraic.below.casesOn
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.label
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.IsSemialgebraic.recOn
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.noConfusionType
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic recursor PBCounterexample.FiniteClosedPolynomialCover.rec
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.region
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.FiniteClosedPolynomialCover.closed
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic theorem PBCounterexample.IsSemialgebraic.finset_inter
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic inductive PBCounterexample.FiniteClosedPolynomialCover
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic constructor PBCounterexample.FiniteClosedPolynomialCover.mk
GRAM5_PROJECT_DECL PBCounterexample.Semialgebraic definition PBCounterexample.FiniteClosedPolynomialCover.casesOn
GRAM5_PROJECT_MODULE gram5_independent_contract_20260908 records=113
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.correction._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.region
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.ExactTargetClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.activeRegion
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.zeroRegion
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.ActualIFTClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.q2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.testB
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.mk.noConfusion
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData._sizeOf_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData._sizeOf_inst
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.mixedCoefficient.eq_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.selected
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.Poly
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.ctorIdx
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1._proof_4
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.ExplicitCoverClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q4_exact
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.mk._flat_ctor
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.OfWeight
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.residual_zero
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.testW
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.casesOn
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.mk.sizeOf_spec
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.q4
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.testA
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 constructor Gram5IndependentContract.CorrectedPathData.mk
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.a._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q2._proof_2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q2._proof_3
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.e
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.B2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.A2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.orientation
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.WeightedDecompositionClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 recursor Gram5IndependentContract.CorrectedPathData.rec
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.mixedCoefficient
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.initialDirection
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.minimum
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.noConfusionType
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.zero_at_epsilon_zero
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.determinant._proof_2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CompleteKernelClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.j
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.one
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.linearAtOne
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.determinant._proof_3
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.labels
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.c
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.F2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.testG
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1._proof_5
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.q1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.n
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.epsilonRadius_pos
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.epsilonRadius
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.normalizedPoint
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q3._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q3_exact
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.lambdaRadius
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1._proof_3
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.label
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.d
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q2_exact
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 inductive Gram5IndependentContract.CorrectedPathData
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1._proof_2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.b
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.scale
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.smooth
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.FixedEpsilonContinuityClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.first_zero_combination
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.correction
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.determinant._proof_4
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.W2
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.determinant
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.determinant._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.region.match_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.rootFactor
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.WeightedEvaluationClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.rectangle
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.actualPoint
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.monomialWeight
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.expectedJacobian
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q2._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.weight
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.orientation.match_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.Exceptional
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.testA._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.mixed_weight_identity
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.WeightedFiniteCollectionClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.mk.inj
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.recOn
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.testg
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.second_zero_combination
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.residual
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.expectedJacobian._proof_1
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.FiniteThresholdPairClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.no_finite_sup_inf_of_no_lattice
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.linearB
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.a
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.lambdaRadius_pos
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.linearA
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1_exact
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.q1._proof_6
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.Point
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.noConfusion
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.q3
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.CorrectedPathData.z
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 theorem Gram5IndependentContract.CorrectedPathData.mk.injEq
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.WholeSpaceClaim
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.component
GRAM5_PROJECT_DECL gram5_independent_contract_20260908 definition Gram5IndependentContract.radicand
GRAM5_PROJECT_MODULE PBCounterexample.Gram5Data records=98
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.negativePolynomial
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.quadratic_gram_identity
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.gramB._proof_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.zPolynomial.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.halfVPolynomial.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.determinantPolynomial_eq
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.gramA
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.twice_halfRPolynomial
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.leadingDeterminant
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.gramMatrix.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.a.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.Label
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.gramE
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.negativeMatrix.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.inverseCoordinates.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.negativeMatrix
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.negativePolynomial.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.inverseCoordinates
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.a
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.gramMatrix
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.halfUPolynomial.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.rPolynomial.eq_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data definition PBCounterexample.Gram5.originalCoordinates
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.zPolynomial._proof_1
GRAM5_PROJECT_DECL PBCounterexample.Gram5Data theorem PBCounterexample.Gram5.gramB.eq_1
